Format Version,1.0,
Take Name,Take 2022-10-21 01.58.24 PM,
Capture Frame Rate,300.00,
Export Frame Rate,300.00,
Capture Start Time,21 Oct 2022 13:58:24 +0900,
Total Frames In Take,32253,
Total Exported Frames,32253,
Coordinate Space,Local,
Device Name,AMTI 3194 3194,
Device Type,2,
Device Channel Count,6,
Mocap Rate,300.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,1,
PosX_PosY_X,0.502139,
PosX_PosY_Y,-0.000029,
PosX_PosY_Z,0.501192,
NegX_PosY_X,-0.000017,
NegX_PosY_Y,0.000014,
NegX_PosY_Z,0.501749,
NegX_NegY_X,-0.000020,
NegX_NegY_Y,0.000034,
NegX_NegY_Z,0.000002,
PosX_NegY_X,0.502136,
PosX_NegY_Y,-0.000009,
PosX_NegY_Z,-0.000555,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
228,0.760000,228,-13.000000,-0.834106,673.843750,50.986328,3.793579,-3.007080,-0.005630,0.075665,0.000000,-3.995420
229,0.763000,229,-13.960449,-1.129578,673.812500,50.841797,3.784790,-3.008179,-0.005617,0.075454,0.000000,-4.067894
230,0.766000,230,-14.028809,-1.072327,673.687500,50.865234,3.782349,-3.007812,-0.005614,0.075503,0.000000,-4.073046
231,0.770000,231,-13.624512,-1.024658,673.562500,50.796875,3.771729,-2.810059,-0.005600,0.075415,0.000000,-3.843292
232,0.773000,232,-13.188965,-0.962189,673.468750,50.822266,3.738403,-2.960205,-0.005551,0.075463,0.000000,-3.960831
233,0.776000,233,-12.978516,-0.416092,673.468750,50.666016,3.770386,-3.059937,-0.005598,0.075231,0.000000,-4.038658
234,0.780000,234,-13.326660,-0.067478,673.468750,50.753906,3.662964,-2.813721,-0.005439,0.075362,0.000000,-3.818410
235,0.783000,235,-13.975586,-0.355957,673.031250,50.783203,3.760498,-2.461670,-0.005587,0.075454,0.000000,-3.518179
236,0.786000,236,-13.694336,-0.463318,673.312500,50.740234,3.818237,-2.559570,-0.005671,0.075359,0.000000,-3.594191
237,0.790000,237,-14.192871,-0.101898,673.468750,50.751953,3.874512,-2.740356,-0.005753,0.075359,0.000000,-3.810504
238,0.793000,238,-13.670410,-0.065830,673.843750,50.728516,3.772095,-2.743774,-0.005598,0.075282,0.000000,-3.773283
239,0.796000,239,-13.627441,-0.529907,674.125000,50.734375,3.869507,-2.806274,-0.005740,0.075260,0.000000,-3.834912
240,0.800000,240,-13.576660,-0.135475,674.125000,50.773438,3.727417,-2.777588,-0.005529,0.075318,0.000000,-3.800898
241,0.803000,241,-13.540527,-0.396896,673.843750,50.687500,3.776123,-3.009888,-0.005604,0.075221,0.000000,-4.030650
242,0.806000,242,-13.948730,-0.227760,673.843750,50.775391,3.762451,-2.892944,-0.005584,0.075352,0.000000,-3.945279
243,0.810000,243,-13.511230,0.060329,674.125000,50.724609,3.826172,-3.007690,-0.005676,0.075245,0.000000,-4.024002
244,0.813000,244,-13.543457,-0.245224,673.968750,50.705078,3.776367,-2.959473,-0.005603,0.075234,0.000000,-3.979769
